"","Agapostemon texanus","Andrena algida","Andrena auricoma","Andrena birtwelli","Andrena buckelli","Andrena candida","Andrena columbiana","Andrena costillensis","Andrena cyanophila","Andrena lawrencei","Andrena macoupinensis","Andrena mariae","Andrena medionitens","Andrena montrosensis","Andrena nigrocaerulea","Andrena nothocalaidis","Andrena nr columbiana costillensis","Andrena nr salicifloris","Andrena prunorum","Andrena salicifloris","Andrena sp.","Andrena thaspii","Andrena transnigra","Andrena w-scripta","Anthidium sp.","Anthophora montana","Anthophora terminalis","Anthophora ursina","Ashmeadiella bucconis","Ashmeadiella opuntiae","Ashmeadiella sp.","Atoposmia abjecta","Atoposmia abjecta abjecta","Atoposmia elongata","Bombus appositus","Bombus balteatus","Bombus bifarius","Bombus centralis","Bombus fervidus","Bombus flavifrons","Bombus frigidus","Bombus huntii","Bombus insularis","Bombus mixtus","Bombus nevadensis","Bombus occidentalis","Bombus rufocinctus","Bombus sylvicola","Calliopsis coloradensis","Calliopsis teucrii","Ceratina nanula","Ceratina neomexicana","Ceratina sp.","Coelioxys moesta","Coelioxys sodalis","Colletes consors","Colletes hyalinus","Colletes kincaidii","Colletes nigrifrons","Colletes paniscus","Colletes phaceliae","Diadasia diminuta","Dianthidium heterulkei","Dufourea fimbriata","Dufourea harveyi","Dufourea maura","Dufourea sp.","Epeolus americanus","Epeolus compactus","Epeolus sp.","Eucera fulvitarsis","Halictus confusus","Halictus rubicundus","Halictus tripartitus","Halictus virgatellus","Heriades sp.","Holcopasites sp.","Hoplitis albifrons","Hoplitis fulgida","Hoplitis fulgida fulgida","Hoplitis producta","Hoplitis robusta","Hoplitis truncata","Hylaeus annulatus","Hylaeus basalis","Hylaeus modestus","Hylaeus nr rudbeckiae","Hylaeus personatellus","Hylaeus rudbeckiae","Hylaeus sp.","Hylaeus verticalis","Lasioglossum abundipunctum","Lasioglossum cooleyi","Lasioglossum ebmerellum","Lasioglossum egregium","Lasioglossum ephialtum","Lasioglossum granosum","Lasioglossum inconditum","Lasioglossum knereri","Lasioglossum nigrum","Lasioglossum obnubilum","Lasioglossum occidentale","Lasioglossum pacatum","Lasioglossum pavoninum","Lasioglossum prasinogaster","Lasioglossum regis","Lasioglossum ruidosense","Lasioglossum sandhousiellum","Lasioglossum sedi","Lasioglossum semicaeruleum","Lasioglossum sisymbrii","Lasioglossum tenax","Lasioglossum trizonatum","Megachile frigida","Megachile gemula","Megachile inermis","Megachile latimanus","Megachile melanophaea","Megachile mellitarsis","Megachile montivaga","Megachile nevadensis","Megachile perihirta","Megachile pugnata","Megachile relativa","Megachile subexilis","Megachile subnigra","Melecta sp.","Melissodes confusus","Melissodes coreopsis","Melissodes glenwoodensis","Melissodes grindeliae","Melissodes hymenoxidis","Melissodes lutulentus","Melissodes tristis","Nomada sp.","Osmia (acanthosmioides)","Osmia albolateralis","Osmia austromaritima","Osmia brevis","Osmia bruneri","Osmia bucephala","Osmia californica","Osmia calla","Osmia coloradensis","Osmia corkinsi","Osmia cyanopoda","Osmia dustromaritima","Osmia ednae","Osmia giliarum","Osmia grindeliae","Osmia hirruta","Osmia hirsuta","Osmia inermis","Osmia iridis","Osmia kincaidii","Osmia lignaria","Osmia longula","Osmia marginipennis","Osmia mertensiae","Osmia montana montana","Osmia nigrifrons","Osmia nigriventris","Osmia paradisica","Osmia penstemonis","Osmia pentstemonis","Osmia phaceliae","Osmia proxima","Osmia puscilla","Osmia pusilla","Osmia sculleni","Osmia sericea","Osmia simillima","Osmia sp.","Osmia subaustralis","Osmia tersula","Osmia thysanisca","Osmia torchioi","Osmia trevoris","Osmia tristella","Osmia vandykei","Panurginus cressoniellus","Panurginus ineptus","Panurginus sp.","Perdita sp.","Pseudopanurgus bakeri","Pseudopanurgus didirupa","Pseudopanurgus sp.","Sphecodes sp.","Stelis callura","Stelis foederalis","Stelis sp.","Stelis subemarginata","Triepeolus sp."
"BlockA_2009",0,0.062589355,0,0,0,0,0.124476926,0,0,0,0,0.191267625,0,0,0,0,0,0,0,0,0.063990583,0,0,0,0,0,0,0,0,0,0,0,0,0,6.190711462,0.309917355,6.089651455,0,0.66160618,3.845220984,0,0,0.651724758,0,0.103305785,0.108695652,0.320697089,2.92040963,0,0.064690027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5675149,0.129380054,0.032345013,0,0,0,0,0,0.189169293,0,2.608321849,0,0,0,0,0,0,0.18706394,0,1.39095937,0.123775142,0,0,0,0,0,0,0.063288798,0,0,0,0,0,0.822061963,0,0.850210314,0.064690027,0,0,0,0,0,0.663139352,0,5.360443429,0,0,0.279195854,0,0,0,0,0,0,0,0,0,0,0,0,0.030943785,0,0,0,0,0,0,0.030943785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.656329058,0.410681259,0,0,0.319948235,0.064690027,0,1.081516834,0,0,0,0,0
"BlockA_2010",0,0,0,0,0,0,0.053073861,0.055272563,0,0,0,0.026536931,0,0,0,0,0.054852174,0,0,0,0.159221583,0,0,0,0.028735632,0,0,0,0,0,0,0,0,0,5.078880173,0.257953568,10.219474169,0,1.211959057,4.023384638,0,0,0.801629837,0,1.29705942,0.428743735,0,0.524082875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312211696,0.026536931,0,0,0,0,0,0,0.108346424,0,1.055651386,0,0,0,0,0,0,0.25254173,0,0.365705946,0.057050875,0,0,0,0,0,0,0,0,0,0,0,0,0.028735632,0,0.171573015,0,0,0,0,0.028735632,0,0.280436583,0.026536931,1.68584486,0,0,0.057050875,0,0.026536931,0,0,0,0,0,0,0,0,0,0.028735632,0.055272563,0,0,0,0.026536931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026536931,0,0,0,0,0,0,0.028735632,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27301875,1.250818608,0,0,0.569206584,0.265369306,0,0.614043785,0,0,0.026536931,0,0
"BlockA_2011",0,0.026143791,0,0,0,0,0.026109661,0.026109661,0,0,0,0,0,0,0,0,0.052219321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.428571428,0,0.5,1,0.142857143,0,0.714285714,0,1.5,0.214285713,0,2.214285715,0,0,0,0,0,0,0,0.026052974,0,0,0,0,0,0,0,0,0.026109661,0,0,0,0,0,0,0,0.495925067,0.052196765,0.808867931,0,0,0,0.130264872,0,0,0.182722513,0,0.521683035,0.026109661,0,0,0,0,0,0,0.026109661,0,0,0,0,0,2.428896762,0,2.32315256,0,0,0.130684824,0,0,0,1.227507517,0.156669538,7.284689362,0,0,0.418028204,0.052219321,0,0.026109661,0,0,0.052196765,0,0.026052974,0,0,0,0,0,0,0,0.026143791,0,0,0,0,0,0,0.026109661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026052974,0,0,0,0,0,0.026052974,0,0,0.026109661,0,0,0,0,0,0,0,0,2.298292367,0.78360975,0,0,0.391361478,0.078328982,0,1.044864839,0,0,0,0,0
"BlockA_2012",0,0.519258383,0,0.050122031,0.026064292,0,0,0.047454666,0.195153394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176430384,0.024057739,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0.650980393,0,0,0.192156863,0,0,0.133333334,0,0.058823529,0,0,0,0,0.021390374,0,0,0,0,0.021390374,0,0,0,0.348186848,0,0,0,0.021390374,0.469136353,0.096230954,0.052128584,0,0.048115477,0.021390374,0,0,0,0.922265301,0,4.400736475,0,0,0,0.22322424,0,0,0.604844001,0,0.979067803,0.212530661,0,0,0,0,0,0,0.09290278,0,0,0,0.024057739,0,1.777695334,0,4.937368907,0.024057739,0,0,0,0.050122031,0,1.399485766,0,10.062413377,0,0,1.126772968,0.066838488,0,0.024057739,0.047454666,0,0.122295246,0,0.076186323,0,0.180443491,0.050122031,0.068845041,0,0,0,0,0,0,0,0,0,0,0.024057739,0,0.209863297,0.024057739,0,0,0.814707299,0,0,0.024057739,0,0.024057739,0,0.024057739,0.026064292,0.024057739,0,0,0.024057739,0,0,0.024057739,0.073518958,0,0.09356359,0,0,0,0.026064292,0,0,0,0.189133734,0.021390374,0,0,0.050122031,0.278020186,0,0.137690081,0,0.024057739,0,0.026064292,0.024057739,0,7.853770391,1.888584732,0,0,0.376945845,0.131009611,0,2.418615493,0,0.048115477,0,0.050122031,0
"BlockA_2013",0,0.032733224,0,0.032733224,0,0,0,0,0,0,0,0.063565701,0,0,0,0,0.034266134,0,0,0,0.101265491,0,0,0,0,0,0,0,0,0,0,0,0,0,5.366962306,0,6.634146341,0,1.648337029,5.552549889,0,0,0,0,0,0.390243902,1.942350333,3.831263858,0,0.034266134,0,0,0,0,0,0,0,0,0,0,0,0.034266134,0,0,0.094398178,0,0,0,0,0,0.030832477,0,0.092497431,0,0.290061848,0,0,0,0,0,0,0.065466448,0,0.257328623,0.030832477,0,0,0,0,0,0.030832477,0.068532267,0,0,0,0,0,0.261130118,0,0.192597851,0,0,0,0,0,0,0.164831192,0.12903215,1.553178072,0,0,0.099732582,0,0,0,0,0,0,0,0,0,0,0,0,0.066999358,0,0,0,0,0,0,0,0,0,0.063565701,0,0.034266134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034266134,0,0,0,0,0.034266134,0,0,0,0,0,0,0,0,0,0.032733224,0.032733224,0,0,0,0,0.034266134,0,0,3.593892713,0.261130118,0,0,0.065098611,0.068532267,0,0.401628309,0,0,0,0,0
"BlockA_2014",0,0.201680672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1013178,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776923077,0.1,6.195726495,0,0.817948718,0.727350427,0,0,0,0,0.512820513,0,0.1,0.313675214,0,0.034090909,0,0,0,0.033613445,0,0,0.033613445,0.034052213,0,0,0,0,0.068181818,0.033613445,0.068104427,0.068181818,0,0,0,0,0,0,0,0,0.950984149,0,0,0,0.135331318,0,0,0.2381589,0,0.372974058,0.136247549,0.033613445,0,0,0,0,0,0.102272727,0,0,0,0,0,1.250395086,0,0.40694888,0,0,0,0,0,0,0.440678412,0.270262563,7.994754185,0,0,0.067704354,0,0,0,0,0,0.034052213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033613445,0,0,0,0,0,0,0,0,0,0,0,0,0.033613445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033613445,0,0,0,0,0,0,0,0,0,0.1013178,0.033613445,0,0,0,0,0,0,0,5.093490539,0.608306871,0,0,0.33896054,0.034090909,0,1.017797853,0,0,0,0,0
"BlockA_2015",0,0.075353218,0,0,0,0,0.057283678,0.037771483,0,0,0,0,0,0,0,0,0.018885741,0,0,0.018885741,0.132826643,0,0.018838305,0,0,0,0,0,0,0,0,0,0,0,6.051282052,0.083333333,20.36538462,0,1.083333333,4.705128205,0.166666666,0,4.173076923,0.5,0.083333333,0.16025641,0.326923077,0.480769231,0.018838305,0,0,0,0,0.018838305,0,0,0,0,0.037771483,0,0,0,0,0.018885741,0.321883579,0.018885741,0.019512195,0,0,0,0,0,0.588163319,0,0.975000108,0,0.018885741,0,0.018885741,0.018885741,0,0.113893465,0,0.075495529,0.076169419,0,0,0,0,0,0,0.169876798,0,0,0,0,0,0.551929364,0,0.744602713,0.113893465,0.018885741,0.056609788,0.018885741,0,0,1.065271045,0.188857413,5.23990022,0,0,0.037724046,0,0,0,0,0,0.018885741,0,0,0,0,0,0.018885741,0.056657224,0,0,0.094428706,0,0,0,0.037771483,0,0,0,0,0.018885741,0,0,0,0.057236241,0,0,0.018838305,0,0,0,0,0,0,0,0,0,0.018885741,0,0,0,0,0,0,0,0,0,0,0,0.057188804,0.056514914,0,0,0,0,0,0.037724046,0.018838305,0,0,0,0,0,0,1.747939835,0.531553531,0.038397936,0,0.793542966,0.491513417,0.056609788,0.605406881,0,0,0.018838305,0,0.018838305
"BlockA_2016",0,0.045061561,0,0,0,0,0.065658122,0,0,0,0.022099448,0,0,0,0,0,0.064377682,0,0,0,0.065017903,0,0,0,0,0,0.065658122,0,0,0,0,0,0,0,1.673026385,0.142857143,5.91317145,0.142857143,0.21644066,2.37653737,0.216440659,0.071428571,2.439346158,0.214285714,0.073583517,0.285714285,0.361452749,0.290024178,0,0.022099448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021459227,0.067161008,0,0,0,0,0,0,0,0.372516623,0,0.938333445,0,0,0,0.090985786,0,0,0.128755365,0,0.133681795,0.044198895,0,0,0.021459227,0,0,0,0,0,0,0,0,0,0.223164695,0,2.091481611,0.044198895,0,0,0,0,0,0.175737585,0,2.231008854,0.04442134,0,0.131956465,0.04442134,0.066520788,0,0.022962113,0,0,0,0,0,0,0,0,0,0,0,0.021459227,0,0,0,0,0,0.021459227,0.022099448,0,0.042918455,0,0,0,0.043558675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068886338,0.043558675,0,0.022962113,0.065880568,0,0,0,0,0.021459227,0.067383452,0,0.045061561,0,0,0,0.021459227,0,4.094126067,0.156421463,0,0,0.373156843,0.17231404,0,0.527212755,0,0,0.068023673,0,0
"BlockB_2009",0,0,0,0,0,0,0,0,0,0,0,0.04076087,0,0,0,0,0,0,0,0,0,0,0.044477391,0,0,0,0,0,0,0,0,0,0,0,5.05751473,0,2.015716994,0,0.29278218,4.951825957,0,0,0.149925037,0,0,0.292172548,0,0.284495021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326086957,0,0,0,0,0,0,0,0.093676815,0,1.033735094,0,0,0,0,0.088954781,0,0.046838407,0,0.225753483,0.04076087,0,0,0,0,0,0,0,0,0,0,0,0,0.289042608,0,0.046838407,0,0,0,0,0,0,0.184992613,0,2.400945653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.788527097,0.966882177,0,0,0.794044639,0.122282609,0.04076087,0.122282609,0,0,0,0,0
"BlockB_2010",0,0.02559727,0,0.027535567,0,0,0.10715847,0,0,0,0,0.051194539,0,0,0,0,0.02559727,0,0,0.02559727,0.02559727,0,0.027535567,0,0,0,0,0,0,0,0,0,0,0,5.006978654,0,5.875615764,0,0.859605912,5.509852217,0.285714286,0,0.572660098,0,0.286124794,0.357963875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157460212,0,0,0,0,0,0,0,0,0,1.365089851,0,0,0,0.026490066,0.026490066,0,0.239761504,0,0.585483274,0.077684605,0,0,0.02559727,0,0,0,0.051194539,0,0,0,0,0,0.365504148,0,0.743836282,0,0,0,0.179180887,0,0,0.636983221,0,3.303422393,0.051194539,0,0.161336806,0,0,0,0,0,0.02559727,0,0.027535567,0,0,0,0,0.052087336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026490066,0,0,0,0,0,0,0,0,0,0.712424122,1.236645391,0,0,0.490812106,0.051194539,0,0.460750853,0,0,0,0,0
