"","Agapostemon texanus","Andrena algida","Andrena auricoma","Andrena birtwelli","Andrena buckelli","Andrena candida","Andrena columbiana","Andrena costillensis","Andrena cyanophila","Andrena lawrencei","Andrena macoupinensis","Andrena mariae","Andrena medionitens","Andrena montrosensis","Andrena nigrocaerulea","Andrena nothocalaidis","Andrena nr columbiana costillensis","Andrena nr salicifloris","Andrena prunorum","Andrena salicifloris","Andrena sp.","Andrena thaspii","Andrena transnigra","Andrena w-scripta","Anthidium sp.","Anthophora montana","Anthophora terminalis","Anthophora ursina","Ashmeadiella bucconis","Ashmeadiella opuntiae","Ashmeadiella sp.","Atoposmia abjecta","Atoposmia abjecta abjecta","Atoposmia elongata","Bombus appositus","Bombus balteatus","Bombus bifarius","Bombus centralis","Bombus fervidus","Bombus flavifrons","Bombus frigidus","Bombus huntii","Bombus insularis","Bombus mixtus","Bombus nevadensis","Bombus occidentalis","Bombus rufocinctus","Bombus sylvicola","Calliopsis coloradensis","Calliopsis teucrii","Ceratina nanula","Ceratina neomexicana","Ceratina sp.","Coelioxys moesta","Coelioxys sodalis","Colletes consors","Colletes hyalinus","Colletes kincaidii","Colletes nigrifrons","Colletes paniscus","Colletes phaceliae","Diadasia diminuta","Dianthidium heterulkei","Dufourea fimbriata","Dufourea harveyi","Dufourea maura","Dufourea sp.","Epeolus americanus","Epeolus compactus","Epeolus sp.","Eucera fulvitarsis","Halictus confusus","Halictus rubicundus","Halictus tripartitus","Halictus virgatellus","Heriades sp.","Holcopasites sp.","Hoplitis albifrons","Hoplitis fulgida","Hoplitis fulgida fulgida","Hoplitis producta","Hoplitis robusta","Hoplitis truncata","Hylaeus annulatus","Hylaeus basalis","Hylaeus modestus","Hylaeus nr rudbeckiae","Hylaeus personatellus","Hylaeus rudbeckiae","Hylaeus sp.","Hylaeus verticalis","Lasioglossum abundipunctum","Lasioglossum cooleyi","Lasioglossum ebmerellum","Lasioglossum egregium","Lasioglossum ephialtum","Lasioglossum granosum","Lasioglossum inconditum","Lasioglossum knereri","Lasioglossum nigrum","Lasioglossum obnubilum","Lasioglossum occidentale","Lasioglossum pacatum","Lasioglossum pavoninum","Lasioglossum prasinogaster","Lasioglossum regis","Lasioglossum ruidosense","Lasioglossum sandhousiellum","Lasioglossum sedi","Lasioglossum semicaeruleum","Lasioglossum sisymbrii","Lasioglossum tenax","Lasioglossum trizonatum","Megachile frigida","Megachile gemula","Megachile inermis","Megachile latimanus","Megachile melanophaea","Megachile mellitarsis","Megachile montivaga","Megachile nevadensis","Megachile perihirta","Megachile pugnata","Megachile relativa","Megachile subexilis","Megachile subnigra","Melecta sp.","Melissodes confusus","Melissodes coreopsis","Melissodes glenwoodensis","Melissodes grindeliae","Melissodes hymenoxidis","Melissodes lutulentus","Melissodes tristis","Nomada sp.","Osmia (acanthosmioides)","Osmia albolateralis","Osmia austromaritima","Osmia brevis","Osmia bruneri","Osmia bucephala","Osmia californica","Osmia calla","Osmia coloradensis","Osmia corkinsi","Osmia cyanopoda","Osmia dustromaritima","Osmia ednae","Osmia giliarum","Osmia grindeliae","Osmia hirruta","Osmia hirsuta","Osmia inermis","Osmia iridis","Osmia kincaidii","Osmia lignaria","Osmia longula","Osmia marginipennis","Osmia mertensiae","Osmia montana montana","Osmia nigrifrons","Osmia nigriventris","Osmia paradisica","Osmia penstemonis","Osmia pentstemonis","Osmia phaceliae","Osmia proxima","Osmia puscilla","Osmia pusilla","Osmia sculleni","Osmia sericea","Osmia simillima","Osmia sp.","Osmia subaustralis","Osmia tersula","Osmia thysanisca","Osmia torchioi","Osmia trevoris","Osmia tristella","Osmia vandykei","Panurginus cressoniellus","Panurginus ineptus","Panurginus sp.","Perdita sp.","Pseudopanurgus bakeri","Pseudopanurgus didirupa","Pseudopanurgus sp.","Sphecodes sp.","Stelis callura","Stelis foederalis","Stelis sp.","Stelis subemarginata","Triepeolus sp."
"BlockB_2011",0,0.077201902,0,0,0,0,0.027347311,0,0,0,0,0.104549213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642857143,0,0.714285714,0,0.071428571,5.714285714,0.142857143,0,0.428571429,0,0.571428571,0.071428571,0,1.5,0,0,0,0.026327337,0,0,0,0,0,0,0.024927295,0,0,0,0,0,0.102129197,0,0,0,0,0,0,0,0.526273285,0.106969228,1.27412514,0,0,0,0.054694622,0,0,0.076181928,0,0.308547766,0.024927295,0,0,0,0.024927295,0,0,0,0,0,0,0,0.053674648,1.65579491,0,0.987444746,0,0,0.052274606,0.174491068,0,0,0.857241098,0.224345658,7.907903979,0.049854591,0,0.286300326,0,0,0,0,0,0.024927295,0,0,0,0,0,0.049854591,0,0,0,0,0,0,0,0,0,0,0,0,0.076181928,0,0,0,0.077201902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024927295,0,0,0,0.024927295,0.184551197,0,0,0,0,0,0,0.078601943,0,0.052274606,0.277000331,0,0,0.326474856,0.074781886,0,0.805313566,0,0,0,0,0
"BlockB_2012",0,0.169137578,0,0.021778584,0,0,0,0.02050581,0.254619282,0,0,0,0,0,0,0,0,0,0,0,0,0.021082221,0.207363743,0,0.02050581,0,0.02050581,0,0,0,0,0,0,0.021778584,0.055555556,0,0.5,0,0,0.277777778,0,0,0,0,0,0.111111111,0,0,0,0,0.021082221,0,0,0,0.02050581,0.04101162,0,0,0.083872425,0.02050581,0,0,0,0.439051618,0.062093841,0.042860805,0,0.062790204,0,0,0,0,0.397583541,0,2.361852008,0,0,0.021778584,0.555821093,0,0,0.467553934,0,0.679432363,0.340340891,0,0,0,0,0,0,0.02050581,0,0.021082221,0,0,0,2.238913747,0,4.10410656,0.021082221,0,0,0.063246662,0.105411103,0,1.65787896,0,11.952675192,0,0,0.683272154,0,0,0,0.084568789,0,0.02050581,0,0.064062979,0,0.021082221,0.063366615,0.166472075,0,0,0,0,0,0,0,0,0,0,0.146422723,0,0.405220187,0,0,0,0.379503327,0,0,0.021778584,0,0,0,0,0,0.062790204,0,0,0,0,0,0,0.02050581,0,0.063366615,0,0.04101162,0,0,0,0.02050581,0,0.291356121,0,0,0.021778584,0.107620148,0.0851452,0.021778584,0.084568789,0.128702369,0.02050581,0,0.04101162,0.083872425,0,1.459566057,1.732265554,0,0,0.339068117,0.105531056,0,0.992063902,0,0.021082221,0,0,0
"BlockB_2013",0,0.038809832,0,0,0,0,0.077619664,0,0,0,0.039113429,0.242215659,0,0,0,0,0.038809832,0.038809832,0,0,0.080738553,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39171123,0,4.201203209,0,1.55013369,7.045454545,0,0,0,0,0,0,0.981283423,4.5421123,0,0,0,0,0,0,0.119548385,0,0,0,0,0,0,0.038809832,0,0,0.077923261,0,0,0,0,0,0,0,0.511069189,0,1.414266378,0,0,0,0,0,0,0.117340287,0,1.297668111,0.200286937,0,0,0,0,0,0,0.038809832,0,0,0,0,0,0.32013892,0,0.523544747,0,0,0,0.038809832,0,0,0.679694866,0.349288486,0.601164411,0.039113429,0,0,0,0.038809832,0,0.038809832,0.038809832,0,0,0.041928721,0,0,0,0,0.120155579,0,0,0,0,0,0,0,0,0,0,0,0.077923261,0,0,0,0,0,0,0.077619664,0,0,0,0.041928721,0,0,0,0,0,0,0,0,0.041928721,0,0,0,0,0.039113429,0,0,0,0,0,0,0.041928721,0,0.039113429,0.077923261,0,0,0,0,0,0,0,0,0.397758584,1.183446714,0,0,0.559539287,0.120155579,0,1.053716722,0,0,0,0,0
"BlockB_2014",0,0.033407572,0,0,0,0,0.027829314,0,0,0,0,0.055658627,0,0,0,0,0,0,0,0,0.027829314,0,0.033955857,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.033955857,0,0,0,0,0,0,0,0,0.228761052,0,0.027829314,0,0,0,0,0,0.089066199,0,1.843528608,0,0,0,0.229919603,0,0,0.067363429,0,0.205961713,0.033407572,0,0,0,0,0,0.033955857,0,0,0,0,0,0,0.75757999,0,0.603405483,0.027829314,0,0,0.151399656,0.027829314,0,0.627363372,0.580544161,4.823463173,0,0,0,0,0,0,0,0,0.100222717,0,0,0,0,0.033407572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033407572,0,0,0,0.033407572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027829314,0,0,0,0,0.033407572,0,0,0,0,0.055658627,0.027829314,0,0.033407572,0,0,0,0,0,0.817138593,1.280849222,0,0,0.530463793,0.250463822,0.033407572,0.531012078,0,0,0,0,0
"BlockB_2015",0,0.059668095,0,0.021482277,0,0,0.021482277,0,0,0,0.021482277,0.038600679,0,0,0,0,0,0,0,0,0.017118402,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77997666,0.687396674,9.389234659,0,0.990761451,12.781095011,0.950549451,0,2.946076048,0.502333949,0,0,0.796460177,0.779393173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042549693,0.178589424,0,0.017118402,0,0,0,0,0.038185818,0.776670488,0,1.791735992,0,0,0,0.064446831,0.042964554,0,0.140403606,0,0.286493435,0.080320649,0.034236805,0,0,0,0,0,0.042964554,0,0,0,0,0,0.569452718,0,1.215907196,0.097853913,0.017118402,0.111023302,0.102710414,0.034236805,0,1.452549341,0.136947218,4.722760607,0,0,0.097853913,0,0,0,0,0,0.038600679,0,0,0,0.034236805,0,0,0.089541025,0,0,0.055719082,0,0,0,0,0,0,0.021482277,0,0.038600679,0,0,0,0.081565233,0,0,0.034236805,0,0,0,0,0,0,0,0,0.042964554,0,0,0,0,0,0,0,0.021482277,0,0,0,0,0,0,0,0,0.042964554,0,0.10304751,0.042964554,0.038185818,0.021482277,0,0,0,0,0,0.790807096,1.188938296,0,0,0.744326421,0.229944631,0,0.554779413,0,0,0,0,0.021067416
"BlockB_2016",0,0,0,0.044399475,0,0,0.06667946,0,0,0,0,0,0,0,0,0,0.021428571,0.022970904,0,0.022970904,0.06667946,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857142857,0.411007038,8.183840982,0.214285714,0.822014078,9.468384255,1.169789234,0,2.502342024,0.098360662,0,0.214285714,0.285714285,0.411007038,0,0.022279985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154096573,0,0,0,0,0,0,0,0.196953716,0,1.301796855,0,0,0,0.022279985,0.067370378,0,0.131816588,0,0.06667946,0.021428571,0,0,0.022970904,0,0,0,0.021428571,0,0,0,0,0,0.596869981,0,1.615792984,0,0,0,0,0.022279985,0,0.582301657,0,4.083097159,0,0,0.262942259,0.022279985,0,0,0,0,0,0,0.021428571,0,0,0,0,0.044399475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022279985,0,0.066839955,0,0.022970904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022970904,0,0.042857143,0,0,0,0.068221792,0,0,0.022970904,0,0.06667946,0.113472681,0.021428571,0,0,0,0,0.045250889,0,1.094790252,0.763947193,0,0,0.626906982,0.064285714,0,0.264163599,0,0,0.045250889,0,0.022279985
"BlockD_2009",0,0,0,0,0,0,0.195280716,0,0,0,0,0.235445373,0,0,0,0,0.046656299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.25,2,0,0.375,7.875,0.75,0,1,0.75,0.125,0.25,1,1.5,0,0.095476478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775667396,0.149660591,0,0,0,0,0,0,0.186625194,0,1.23141098,0,0,0,0,0.146978624,0,0,0,3.039921483,0.144296657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149142504,0,0,0,0,0,0,0.330921851,0.048820179,0.571213072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.269751207,0.768139582,0,0,0.430726089,0,0,0.384069791,0,0,0,0,0
"BlockD_2010",0.031430068,0.11572918,0,0.031430068,0,0,0.181366089,0,0,0,0,0.393604247,0,0,0,0,0.05786459,0,0,0,0.060641363,0,0,0,0,0,0.028653295,0,0,0,0,0,0,0,3,0.428571429,7.928571428,0,0.642857143,9.214285715,0.928571429,0,1.428571428,0,0.214285714,0.357142857,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601962859,0.21501493,0,0,0,0.029211295,0,0,0.786991286,0,4.142757045,0,0,0,0.060641363,0,0,0.060641363,0,3.122057626,0.122943499,0,0.028653295,0.242007452,0,0,0,0,0,0,0,0,0,0.321311019,0.028653295,0.526334857,0,0,0.05730659,0.210577384,0.031430068,0,2.909575807,0.028653295,7.972666691,0.062860136,0,0.287648951,0.031430068,0,0,0,0,0.029211295,0,0.060641363,0,0,0,0.031430068,0,0,0,0,0,0,0.028653295,0,0,0.031430068,0,0,0.029211295,0,0,0,0,0,0,0,0,0,0,0.11684518,0,0,0,0,0,0,0,0,0.05842259,0,0,0,0,0,0,0,0,0,0.05842259,0,0,0,0,0.028653295,0,0,0,0,0,0,0,0,0.62951338,0.089852658,0,0,1.336098328,0,0,1.217592375,0,0,0,0,0
"BlockD_2011",0,0.027334852,0,0,0,0,0.147360385,0,0,0,0,0.089001748,0,0,0,0,0.06204757,0,0,0,0.027334852,0,0,0,0,0,0,0,0,0,0,0,0,0,1.322649573,0.074074074,1.376068376,0.166666667,0.157407407,3.86965812,0.628205129,0,0.301994302,0,0.230769231,0.237179487,0.074074074,3.709401709,0,0,0,0,0,0,0,0.027334852,0,0,0.113028341,0.027334852,0,0,0,0.027334852,0.229745615,0.054669704,0,0,0,0,0,0,1.062165803,0,1.087704717,0,0,0,0.027334852,0,0,0.026954178,0,0.757520257,0.026954178,0,0,0,0,0,0.057977963,0,0,0,0,0,0,1.498478469,0.027334852,1.516532086,0.026954178,0,0,0.027334852,0,0,0.831385598,0.027334852,3.788075143,0.031023785,0,0,0.027334852,0,0,0,0,0.081243208,0,0,0,0,0,0.053908356,0,0,0,0,0,0,0,0,0,0,0,0,0.026954178,0,0,0,0.031023785,0,0,0,0,0,0,0.419947556,0,0,0,0,0,0,0,0,0.026954178,0,0,0,0,0,0,0,0,0,0.054669704,0,0,0,0.031023785,0.611935061,0,0,0,0,0,0.031023785,0,0,0.166556023,0.089001748,0,0,0.139982519,0,0,0.51632717,0,0,0,0,0
"BlockD_2012",0,0.323873841,0,0.048225219,0,0.024509804,0,0,0.717338294,0,0,0,0,0,0,0,0,0,0,0,0,0.051435919,0.048225219,0.024509804,0,0,0.024509804,0,0,0,0,0.024509804,0,0.024509804,0,0,0.866666667,0,0,0.200000001,0,0,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0.097658594,0,0,0,0.195317187,0,0,0,0,0.145470046,0.024509804,0.074737568,0,0.051435919,0,0,0,0,1.342677363,0,2.912547692,0,0,0.04743083,0.4142835,0,0,0.147886357,0,1.497613786,0.219413225,0,0,0,0,0,0,0,0,0,0,0,0,3.016148419,0,4.052343811,0,0,0,0.146297579,0,0,3.636306599,0,13.467542603,0,0,1.207535951,0.023715415,0,0,0,0,0.098452983,0,0.24312864,0,0,0,0.123376553,0,0,0,0,0,0,0,0,0,0,0.097658594,0.024509804,0.218999457,0.166802294,0.024509804,0.024509804,0.322665685,0,0,0,0,0.02571796,0,0.552124778,0,0.095656049,0,0,0,0.024509804,0,0,0.051435919,0,0.075945723,0,0.024509804,0,0.09486166,0,0,0,0.474143365,0,0,0.023715415,0.050227764,0.465371943,0.096450438,0.292181392,0.02571796,0,0,0,0.124965331,0,0.071940634,0.225040237,0,0,0.222210158,0,0,1.121510425,0,0,0,0,0
"BlockD_2013",0,0.170454545,0,0,0,0,0.041580042,0,0,0,0,0.343078585,0,0,0,0,0.042613636,0,0,0,0.042613636,0,0,0,0,0,0,0,0,0,0.044215181,0,0,0,1.910714286,0,6.928571429,0,1.071428572,8.071428572,0,0,0,0,0,0,0.535714286,4.75,0,0,0,0,0,0.042613636,0.044215181,0,0,0,0.130010403,0,0,0,0,0,0.086828817,0,0,0,0,0,0,0.042613636,0.864051486,0,0.863483537,0,0,0,0,0,0,0,0,2.09050239,0.172624039,0,0,0.041580042,0,0,0,0,0,0,0,0,0,0.131043997,0,0.392098398,0,0,0.042613636,0.086828817,0.044215181,0.042613636,1.135748747,0.214669726,1.950882723,0,0,0.214669726,0,0,0,0,0,0,0,0.042613636,0,0,0,0,0.173657634,0,0,0,0,0,0,0,0,0,0,0,0.085227273,0,0,0,0,0,0,0,0,0,0,0.650983304,0,0,0,0,0,0,0,0,0.084193678,0,0,0,0,0.044215181,0.041580042,0,0,0,0,0,0,0,0,0.221075903,0,0,0.129442454,0,0,0.042613636,0,0,0.084193678,0.174225584,0,0,0.478927215,0,0,0.967929339,0,0,0,0,0
"BlockD_2014",0,0.442066699,0,0.065897858,0,0,0,0,0,0,0,0.40627871,0.065897858,0,0,0,0.035671819,0,0,0,0.215587569,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.108572111,0,0,0,0,0,0.30793851,0,0.032948929,0,0,0,0,0,0.621982449,0,0.714993038,0,0,0.032948929,0.078346072,0,0,0.146966821,0,1.023828553,0.167467536,0.032948929,0,0.032948929,0,0.068620748,0.177192859,0.035671819,0,0,0,0,0,2.022249075,0,1.404276938,0,0,0.107015458,0.032948929,0,0,1.886838479,0.068620748,6.372432064,0,0,0.970141554,0.098846787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035671819,0,0.035671819,0,0,0,0,0,0,0,0,0,0,0.252816042,0,0,0,0,0.035671819,0,0,0,0.111295001,0,0,0,0,0.035671819,0,0,0,0,0.156692145,0,0,0,0.035671819,0.340887439,0,0,0,0,0,0,0,0,0.170190426,0.383055105,0,0,0.399782864,0.035671819,0.032948929,0.139964387,0,0,0,0,0.035671819
"BlockD_2015",0,0.293739448,0,0.02014775,0,0,0.104923448,0,0,0,0.020229265,0.311713336,0,0,0,0,0,0,0,0,0.061570939,0,0,0,0,0,0,0,0,0,0,0,0.021193924,0,2.173148841,2.098354525,8.737097981,0,1.659685864,10.033657442,0.28908003,0,0.952131638,2.5,0.360508602,0,0.581525804,0.805908751,0,0,0,0,0,0,0.02014775,0,0,0,0.06060628,0.021193924,0,0,0,0.061489424,0.44792429,0.16343738,0,0,0,0,0,0.041423189,0.642854306,0.021193924,1.221651269,0,0,0,0.081881719,0,0,0.23007616,0,0.332105631,0,0,0,0,0,0,0.161182001,0.082764864,0,0,0,0,0,0.770425427,0,2.304413568,0,0,0.399709071,0.082846379,0.021193924,0,3.050017459,0,7.123969601,0.020229265,0,1.325407614,0.060687795,0.02014775,0,0,0,0.142487999,0,0,0,0.02014775,0,0.021193924,0.020229265,0,0,0.020229265,0,0,0,0,0,0,0.041423189,0,0.021193924,0,0,0,0.12121256,0,0.229193016,0,0,0,0,0,0,0.061570939,0.020229265,0,0.081881719,0,0,0,0,0,0,0,0,0,0,0,0,0.021193924,0.060687795,0,0,0,0,0.18262047,0.041423189,0.02014775,0,0,0.042387849,0,0,0,0.284894485,0.371110412,0,0,0.492812061,0.021193924,0,0.368542493,0,0,0,0,0
"BlockD_2016",0,0.026327337,0,0.02621232,0,0,0.106226102,0,0,0,0,0.315122922,0,0,0,0,0.026327337,0.026785714,0,0,0.053113051,0,0,0,0,0,0.026785714,0.02621232,0,0,0,0,0,0,1.887334888,0.818181818,7.327894328,0.181818182,0.898212899,7.062160062,1.603729604,0,2.047397048,0.261849262,0.085470085,0,0.609168609,0.352758353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582063309,0.13175001,0,0,0,0,0,0.02621232,0.185093095,0,2.200975363,0,0,0,0,0.026327337,0,0.211190398,0,0.452148499,0,0,0,0.078636959,0,0,0,0,0,0,0,0,0,0.159339153,0,1.246894044,0,0,0,0.10668448,0,0,0.476182257,0,4.329276057,0,0,0.527806848,0.02621232,0.104849279,0,0,0,0.026327337,0,0.05242464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02621232,0,0,0.106111086,0,0,0,0.079898766,0,0.186468228,0,0,0,0,0,0,0.079440387,0,0.026785714,0.02621232,0.02621232,0,0,0,0,0,0,0.052998034,0,0,0,0,0.079898766,0.290170719,0,0,0,0,0.212680548,0.026785714,0,0,0.053571429,0.079325371,0,0,0,0.504686466,0.21107707,0,0,1.782031557,0.026327337,0,0.770481754,0,0,0,0,0
